,X,Y,FireDiscoveryDateTime,InitialLatitude,InitialLongitude,POOCounty,IncidentSize,FireCause
15,-123.53221401399999,42.3085951850001,2019/11/18 17:36:59+00,42.30859,-123.5322,Josephine,0.1,Human
72,-120.91701392,44.082205548999994,2015/07/10 20:48:00+00,,,Crook,,
143,-121.38334747200001,44.836394443000096,2020/09/08 04:53:00+00,,,Wasco,,
155,-123.26223606299999,42.836949244,2019/08/05 23:55:00+00,,,Douglas,,
218,-122.517814029,43.2900053430001,2017/08/10 22:17:00+00,43.28994,-122.5181,Douglas,59.0,Natural
258,-122.771013853,42.0186052350001,2015/09/03 16:09:59+00,,,Jackson,,
262,-121.258904104,44.7605655610001,2018/07/05 04:22:59+00,,,Jefferson,,
327,-121.107013995,44.321905547,2014/07/06 01:41:00+00,,,Deschutes,,
425,-124.180847635,43.6111163040001,2020/09/09 20:36:59+00,,,Coos,,
513,-119.91701374600001,44.0397056420001,2014/08/03 02:07:59+00,,,Crook,,
541,-120.91561396,44.298235563999995,2018/06/08 17:58:00+00,44.2981,-120.9158,Crook,0.1,Human
622,-123.218347369,42.9083385530001,2021/08/01 21:59:59+00,,,Douglas,50.0,Natural
639,-122.494213839,42.1909452720001,2018/07/15 15:00:00+00,42.190940000000005,-122.4942,Jackson,1.5,Natural
673,-124.334014309,43.3436051740001,2015/09/02 16:30:00+00,,,Coos,,
676,-123.700569893,44.001116385,2016/09/02 22:36:00+00,,,Lane,,
690,-121.27446410600001,44.7583455590001,2020/04/14 19:40:00+00,,,Jefferson,,
715,-117.400013297,43.9819058750001,2014/06/06 19:15:59+00,,,Malheur,,
760,-121.40473418100001,45.0291755640001,2018/05/08 21:14:00+00,,,Wasco,,
764,-120.310013772,43.8206055890001,2014/07/24 22:50:59+00,,,Crook,,
797,-121.50701374,42.520305384000004,2014/07/13 20:10:59+00,,,Klamath,2535.0,Undetermined
798,-121.26945855,44.760838893,2021/08/01 01:50:00+00,,,Jefferson,,
842,-121.276402994,44.746394448000004,2017/07/03 03:49:00+00,,,Jefferson,,
873,-122.78801423899999,44.206105375,2015/07/24 22:40:00+00,,,Lane,,
948,-121.264458549,44.7602833380001,2021/07/05 04:34:00+00,,,Jefferson,,
969,-123.19101426700001,44.030305325,2014/11/11 18:32:00+00,,,Lane,,
981,-122.55001439700001,45.2000054590001,2020/09/07 18:59:59+00,,,Clackamas,2584.0,Unknown
1009,-121.544184143,44.7222255300001,2018/08/29 20:52:59+00,,,Jefferson,,
1092,-123.69391407799999,42.552135186,2017/06/29 22:06:59+00,42.57227,-123.7456,Josephine,0.1,Human
1160,-123.35334729,42.1391718610001,2022/06/11 23:18:00+00,,,Josephine,,
1219,-121.41301399700001,44.0694055000001,2015/05/24 18:49:00+00,,,Deschutes,,
1234,-117.47451360299999,45.5243159890001,2018/07/10 21:53:05+00,45.524159999999995,-117.5129,Wallowa,0.1,Human
1276,-122.539413919,42.6335452980001,2017/09/07 20:52:59+00,42.63354,-122.5394,Jackson,0.1,Natural
1283,-123.47601405299999,42.592805209000105,2015/06/19 04:02:00+00,,,Josephine,,
1315,-123.13362537299999,44.053616443000095,2016/08/13 21:01:00+00,,,Lane,,
1325,-121.266958545,44.76028334000011,2022/07/05 04:15:59+00,,,Jefferson,,
1507,-121.83701372899999,42.1367053270001,2014/06/13 18:24:00+00,,,Klamath,,
1553,-122.083013748,42.022205297,2014/07/31 19:21:59+00,,,Klamath,,
1603,-121.370014115,44.723305548,2014/07/14 00:20:59+00,,,Jefferson,,
1605,-120.72701404600001,44.9100056240001,2014/08/03 02:10:59+00,,,Wasco,,
1669,-117.67301349700001,44.7972059140001,2014/07/07 22:44:59+00,,,Baker,,
1761,-123.535847413,42.890283022000105,2020/08/08 05:03:59+00,,,Douglas,,
1768,-123.28945878399999,44.566394247000105,2022/04/20 15:56:00+00,,,Benton,,
1801,-121.336958745,45.6733389440001,2016/08/22 21:10:00+00,,,Wasco,,
1840,-122.932791873,43.3030608610001,2016/04/07 20:00:00+00,,,Douglas,,
1862,-123.00701399299999,42.6483052560001,2014/07/31 00:59:59+00,,,Jackson,,
1863,-122.67701417100001,43.93580536899999,2014/08/10 20:18:00+00,,,Lane,,
1895,-123.15779204399999,44.053616441,2016/07/28 19:41:59+00,,,Lane,,
1909,-118.482013633,44.756695833,2017/07/28 23:45:47+00,44.75669,-118.48200000000001,Grant,0.1,Undetermined
1939,-117.021113393,44.8745259830001,2018/07/02 17:16:59+00,44.874520000000004,-117.0211,Baker,36.45,Unknown
1949,-123.226014236,43.8383053100001,2015/07/20 02:29:59+00,,,Lane,,
1977,-121.534181189,44.965283547000105,2019/08/13 00:00:00+00,,,Wasco,,
2006,-117.680013431,44.4389058850001,2014/08/14 14:18:00+00,,,Malheur,,
2015,-121.28862539100001,45.611116723000094,2016/06/21 00:21:59+00,,,Wasco,,
2096,-120.160013816,44.19720563,2014/07/13 22:46:00+00,,,Crook,,
2098,-121.46801418,44.9725055540001,2014/07/23 16:02:00+00,,,Wasco,,
2102,-123.52688070200001,42.2427551820001,2020/08/01 21:04:00+00,,,Josephine,,
2130,-123.50121398200001,42.143005177000106,2021/05/22 21:59:59+00,,,Josephine,,
2177,-121.266014105,44.75860556,2014/07/05 04:31:59+00,,,Jefferson,,
2217,-122.622313911,42.506255282,2017/08/11 02:50:00+00,42.50625,-122.6223,Jackson,7.5,Natural
2237,-121.28251410899999,44.765561115,2021/10/01 02:45:00+00,,,Jefferson,,
2255,-121.215014109,44.8219055690001,2014/07/11 10:31:00+00,,,Jefferson,,
2411,-120.81821394299999,44.293875573,2017/06/22 00:01:59+00,44.29864,-120.8163,Crook,10.0,Human
2414,-123.07056947299999,42.133894105,2016/06/20 20:32:00+00,,,Jackson,,
2439,-118.77945831,45.667783648000096,2016/06/28 01:12:00+00,,,Umatilla,,
2462,-121.822013884,43.079405394,2014/07/07 19:36:00+00,,,Klamath,,
2465,-118.655213843,45.665215882,2020/09/24 18:39:00+00,45.665209999999995,-118.6552,Umatilla,0.1,Human
2480,-121.246125224,44.814727788,2020/07/20 23:38:00+00,,,Jefferson,,
2533,-121.759014373,45.6906055690001,2014/08/19 20:44:00+00,,,Hood River,,Human
2645,-120.79001393899999,44.297805576,2015/08/13 01:27:00+00,,,Crook,,
2706,-123.03056974299999,43.7325053230001,2018/07/05 18:30:00+00,,,Lane,,
2767,-121.53001421799999,45.115838890000106,2021/10/13 19:34:00+00,,,Wasco,,
2782,-122.884902831,42.39351085,2022/08/18 02:03:00+00,,,Jackson,,
2809,-121.84834752799999,44.739727723,2021/07/05 07:08:00+00,,,Marion,,
2821,-121.423014151,44.8661055520001,2015/08/12 20:19:59+00,,,Wasco,,
2855,-122.402214396,45.311305481000005,2022/07/29 14:00:00+00,,,Clackamas,,
2893,-121.38057009100001,44.593616538,2019/08/10 00:01:00+00,,,Jefferson,,
2988,-123.00779221299999,44.930560997,2020/07/01 15:58:00+00,,,Marion,,
3000,-121.314736308,44.630283327,2022/12/01 18:17:00+00,,,Jefferson,,
3019,-123.403070271,45.886549810000105,2022/11/17 16:44:59+00,,,Clatsop,,
3023,-121.263413988,44.14767552000011,2022/02/25 03:58:00+00,44.14614,-121.2641,Deschutes,0.1,Undetermined
3102,-121.745713728,42.217005341000096,2021/05/14 21:43:26+00,42.21699,-121.7454,Klamath,1.0,Undetermined
3266,-121.261404104,44.7561155610001,2018/07/15 02:16:00+00,,,Jefferson,,
3360,-122.88491953100001,42.39347465,2022/09/17 00:39:00+00,,,Jackson,,
3377,-123.53001432200001,44.056705294,2015/07/22 12:45:00+00,,,Lane,,
3429,-121.796014194,44.7783055090001,2014/07/13 16:12:59+00,,,Jefferson,1.0,Natural
3438,-123.642658404,42.152016265,2020/10/02 00:00:00+00,,,Josephine,,
3468,-123.546680849,43.2733385780001,2016/12/10 06:59:59+00,,,Douglas,,
3552,-123.06251396399999,42.429838536,2022/09/07 20:28:00+00,,,Jackson,,
3553,-121.27723410600001,44.756675558999994,2018/07/24 04:37:00+00,,,Jefferson,,
3589,-123.28181395200001,42.159615198000004,2018/11/13 20:32:59+00,42.15961,-123.2818,Josephine,0.1,Unknown
3614,-123.214708962,45.5056998090001,2022/09/10 02:03:00+00,,,Washington,,
3623,-123.104014211,43.80330532,2015/12/02 23:19:59+00,43.8033,-123.1045,Lane,,Undetermined
3708,-123.40401400399999,42.3655152010001,2019/09/07 16:27:00+00,42.36551,-123.404,Josephine,0.1,Natural
3769,-122.886014029,42.9658052880001,2015/05/27 15:00:00+00,,,Douglas,,
3795,-123.651680954,43.7694497090001,2016/09/20 22:41:59+00,,,Douglas,,
3817,-123.290014002,42.454972217,2017/07/14 00:36:59+00,42.454966999999996,-123.29,Josephine,,Undetermined
3818,-118.333013634,44.898905858,2014/08/03 15:30:00+00,,,Grant,,
3820,-122.28401386700001,42.557505316000096,2014/08/12 01:04:00+00,42.8017,-122.5667,Klamath,,Undetermined
3839,-122.73331385200001,42.0481382400001,2019/09/06 02:27:49+00,42.048133,-122.7333,Jackson,,Unknown
3870,-123.18511408200001,43.014665263000005,2018/11/14 01:04:20+00,43.01466,-123.1851,Douglas,0.1,Unknown
3931,-123.89571459999999,45.196405322,2016/09/13 22:17:00+00,45.1964,-123.8957,Tillamook,0.1,Undetermined
