,County,Date,Temperature,Precipitation,Is_Burned,X,Y,FireDiscoveryDateTime,InitialLatitude,InitialLongitude,IncidentSize,FireCause
0,Baker,201001,31.0,0.095,0.0,,,,,,,
1,Baker,201002,32.7,0.056,0.0,,,,,,,
2,Baker,201003,37.0,0.04733333333333333,0.0,,,,,,,
3,Baker,201004,41.1,0.09266666666666666,0.0,,,,,,,
4,Baker,201005,45.3,0.08666666666666667,0.0,,,,,,,
5,Baker,201006,55.7,0.13566666666666669,0.0,,,,,,,
6,Baker,201007,65.2,0.013000000000000001,0.0,,,,,,,
7,Baker,201008,63.9,0.013333333333333334,0.0,,,,,,,
8,Baker,201009,58.2,0.014333333333333332,0.0,,,,,,,
9,Baker,201010,49.1,0.06699999999999999,0.0,,,,,,,
10,Baker,201011,33.1,0.08166666666666668,0.0,,,,,,,
11,Baker,201012,28.4,0.16233333333333333,0.0,,,,,,,
12,Baker,201101,26.5,0.077,0.0,,,,,,,
13,Baker,201102,28.6,0.059000000000000004,0.0,,,,,,,
14,Baker,201103,35.2,0.152,0.0,,,,,,,
15,Baker,201104,37.7,0.061666666666666675,0.0,,,,,,,
16,Baker,201105,46.2,0.12433333333333335,0.0,,,,,,,
17,Baker,201106,54.1,0.05566666666666666,0.0,,,,,,,
18,Baker,201107,64.0,0.010333333333333332,0.0,,,,,,,
19,Baker,201108,68.1,0.003,0.0,,,,,,,
20,Baker,201109,62.6,0.001,0.0,,,,,,,
21,Baker,201110,47.0,0.06533333333333333,0.0,,,,,,,
22,Baker,201111,32.3,0.057333333333333326,0.0,,,,,,,
23,Baker,201112,28.2,0.051333333333333335,0.0,,,,,,,
24,Baker,201201,29.3,0.09966666666666668,0.0,,,,,,,
25,Baker,201202,30.9,0.057666666666666665,0.0,,,,,,,
26,Baker,201203,37.8,0.11033333333333334,0.0,,,,,,,
27,Baker,201204,45.3,0.081,0.0,,,,,,,
28,Baker,201205,50.0,0.04833333333333333,0.0,,,,,,,
29,Baker,201206,56.4,0.058666666666666666,0.0,,,,,,,
30,Baker,201207,69.3,0.023,0.0,,,,,,,
31,Baker,201208,69.4,0.0026666666666666666,0.0,,,,,,,
32,Baker,201209,61.3,0.006,0.0,,,,,,,
33,Baker,201210,45.6,0.07,0.0,,,,,,,
34,Baker,201211,37.2,0.077,0.0,,,,,,,
35,Baker,201212,27.0,0.08966666666666666,0.0,,,,,,,
36,Baker,201301,21.6,0.07466666666666667,0.0,,,,,,,
37,Baker,201302,31.1,0.044333333333333336,0.0,,,,,,,
38,Baker,201303,38.0,0.03333333333333333,0.0,,,,,,,
39,Baker,201304,42.8,0.03833333333333333,0.0,,,,,,,
40,Baker,201305,52.4,0.05566666666666666,0.0,,,,,,,
41,Baker,201306,59.4,0.06266666666666666,0.0,,,,,,,
42,Baker,201307,71.0,0.011333333333333334,0.0,,,,,,,
43,Baker,201308,69.0,0.02866666666666667,0.0,,,,,,,
44,Baker,201309,57.6,0.10366666666666666,0.0,,,,,,,
45,Baker,201310,44.4,0.016,0.0,,,,,,,
46,Baker,201311,36.0,0.057333333333333326,0.0,,,,,,,
47,Baker,201312,23.3,0.060333333333333336,0.0,,,,,,,
48,Baker,201401,29.9,0.05366666666666667,0.0,,,,,,,
49,Baker,201402,31.0,0.11133333333333333,0.0,,,,,,,
50,Baker,201403,39.2,0.12033333333333332,0.0,,,,,,,
51,Baker,201404,43.9,0.058666666666666666,1.0,-118.186013574,44.7191058590001,2014/04/13 23:15:00+00,,,0.9,Human
52,Baker,201405,52.4,0.033,1.0,-117.53401344299999,44.6472059160001,2014/05/31 22:50:00+00,,,,
53,Baker,201406,57.5,0.03,1.0,-118.03701354799999,44.7217058730001,2014/06/02 00:20:59+00,,,,Human
54,Baker,201406,57.5,0.03,1.0,-118.21501358399999,44.747705858000096,2014/06/01 18:53:59+00,,,0.3,Natural
55,Baker,201406,57.5,0.03,1.0,-118.313013539,44.4141058230001,2014/06/01 21:51:00+00,,,12.0,Natural
56,Baker,201406,57.5,0.03,1.0,-117.25601333799999,44.354405918999994,2014/06/11 19:28:59+00,,,,
57,Baker,201406,57.5,0.03,1.0,-117.07401338,44.755005968,2014/06/13 21:39:00+00,,,,
58,Baker,201406,57.5,0.03,1.0,-117.228013325,44.309405918,2014/06/24 14:45:59+00,,,1312.0,Human
59,Baker,201406,57.5,0.03,1.0,-117.366013395,44.5536059240001,2014/06/22 01:06:59+00,,,,
60,Baker,201407,72.0,0.008666666666666666,1.0,-117.209013453,45.010805976,2014/07/23 14:07:59+00,,,0.1,Natural
61,Baker,201407,72.0,0.008666666666666666,1.0,-117.972013539,44.73470588,2014/07/23 14:19:59+00,,,0.1,Natural
62,Baker,201407,72.0,0.008666666666666666,1.0,-117.097013437,45.034205988000096,2014/07/24 16:31:59+00,,,0.1,Natural
63,Baker,201407,72.0,0.008666666666666666,1.0,-117.299013448,44.897205958,2014/07/23 12:36:00+00,,,0.1,Natural
64,Baker,201407,72.0,0.008666666666666666,1.0,-117.345013491,45.075305968000094,2014/07/29 19:24:00+00,,,0.8,Natural
65,Baker,201407,72.0,0.008666666666666666,1.0,-116.94201341700001,45.078306006999995,2014/07/23 15:36:00+00,,,0.1,Natural
66,Baker,201407,72.0,0.008666666666666666,1.0,-117.479013397,44.45030590500011,2014/07/23 23:50:00+00,,,1516.0,Natural
67,Baker,201407,72.0,0.008666666666666666,1.0,-118.35601355600001,44.463005823000096,2014/07/10 01:09:00+00,,,0.1,Natural
68,Baker,201407,72.0,0.008666666666666666,1.0,-118.305013536,44.403905823000095,2014/07/30 14:55:59+00,,,0.1,Human
69,Baker,201407,72.0,0.008666666666666666,1.0,-116.876013399,45.049106011000006,2014/07/23 06:43:59+00,,,0.1,Natural
70,Baker,201407,72.0,0.008666666666666666,1.0,-118.496013624,44.694805826999996,2014/07/23 18:06:00+00,,,0.1,Natural
71,Baker,201407,72.0,0.008666666666666666,1.0,-117.92601349799999,44.5648058720001,2014/07/12 20:18:00+00,,,0.3,Natural
72,Baker,201407,72.0,0.008666666666666666,1.0,-117.752013499,44.7336059020001,2014/07/17 17:05:00+00,,,3320.0,Undetermined
73,Baker,201407,72.0,0.008666666666666666,1.0,-117.65601347200001,44.681705907,2014/07/20 06:04:00+00,,,,
74,Baker,201407,72.0,0.008666666666666666,1.0,-117.533013412,44.4836059030001,2014/07/23 15:30:00+00,,,,
75,Baker,201407,72.0,0.008666666666666666,1.0,-117.50901340600001,44.47000590400009,2014/07/23 14:29:59+00,,,,
76,Baker,201407,72.0,0.008666666666666666,1.0,-117.413013401,44.537205918999994,2014/07/23 02:05:00+00,,,,
77,Baker,201407,72.0,0.008666666666666666,1.0,-117.521013403,44.4425059010001,2014/07/23 06:27:59+00,,,,
78,Baker,201407,72.0,0.008666666666666666,1.0,-117.67301349700001,44.7972059140001,2014/07/07 22:44:59+00,,,,
79,Baker,201408,66.8,0.02666666666666667,1.0,-118.20501360700001,44.8747058690001,2014/08/01 00:08:59+00,,,0.1,Natural
80,Baker,201408,66.8,0.02666666666666667,1.0,-116.991013412,45.005205996,2014/08/15 20:00:00+00,,,0.1,Natural
81,Baker,201408,66.8,0.02666666666666667,1.0,-117.27301346899999,45.029505971000006,2014/08/03 22:25:59+00,,,0.8,Natural
82,Baker,201408,66.8,0.02666666666666667,1.0,-118.00301353200001,44.668905871999996,2014/08/07 01:44:00+00,,,0.1,Human
83,Baker,201408,66.8,0.02666666666666667,1.0,-117.06501342799999,45.01670599,2014/08/25 01:51:59+00,,,0.1,Natural
84,Baker,201408,66.8,0.02666666666666667,1.0,-118.002013525,44.63350587000011,2014/08/14 11:32:00+00,,,0.1,Natural
