,X,Y,FireDiscoveryDateTime,InitialLatitude,InitialLongitude,POOCounty,IncidentSize,FireCause,Temperature,Precipitation
0,-123.53221401399999,42.3085951850001,2019/11/18 17:36:59+00,42.30859,-123.5322,Josephine,0.1,Human,46.6,0.092
1,-120.91701392,44.082205548999994,2015/07/10 20:48:00+00,,,Crook,,,66.2,0.029666666666666668
2,-121.38334747200001,44.836394443000096,2020/09/08 04:53:00+00,,,Wasco,,,63.4,0.014666666666666666
3,-123.26223606299999,42.836949244,2019/08/05 23:55:00+00,,,Douglas,,,67.8,0.04
4,-122.517814029,43.2900053430001,2017/08/10 22:17:00+00,43.28994,-122.5181,Douglas,59.0,Natural,70.2,0.003
5,-122.771013853,42.0186052350001,2015/09/03 16:09:59+00,,,Jackson,,,61.4,0.012666666666666666
6,-121.258904104,44.7605655610001,2018/07/05 04:22:59+00,,,Jefferson,,,69.1,0.0
7,-121.107013995,44.321905547,2014/07/06 01:41:00+00,,,Deschutes,,,67.1,0.02233333333333333
8,-124.180847635,43.6111163040001,2020/09/09 20:36:59+00,,,Coos,,,65.3,0.057
9,-119.91701374600001,44.0397056420001,2014/08/03 02:07:59+00,,,Crook,,,65.3,0.02466666666666667
10,-120.91561396,44.298235563999995,2018/06/08 17:58:00+00,44.2981,-120.9158,Crook,0.1,Human,57.1,0.037333333333333336
11,-123.218347369,42.9083385530001,2021/08/01 21:59:59+00,,,Douglas,50.0,Natural,67.5,0.005666666666666667
12,-122.494213839,42.1909452720001,2018/07/15 15:00:00+00,42.19094000000001,-122.4942,Jackson,1.5,Natural,70.9,0.002
13,-124.334014309,43.3436051740001,2015/09/02 16:30:00+00,,,Coos,,,60.6,0.033
14,-123.700569893,44.001116385,2016/09/02 22:36:00+00,,,Lane,,,58.5,0.034333333333333334
15,-121.27446410600001,44.7583455590001,2020/04/14 19:40:00+00,,,Jefferson,,,46.7,0.025
16,-117.400013297,43.9819058750001,2014/06/06 19:15:59+00,,,Malheur,,,62.1,0.08633333333333333
17,-121.40473418100001,45.0291755640001,2018/05/08 21:14:00+00,,,Wasco,,,58.7,0.012
18,-120.310013772,43.8206055890001,2014/07/24 22:50:59+00,,,Crook,,,69.8,0.012333333333333332
19,-121.50701374,42.520305384000004,2014/07/13 20:10:59+00,,,Klamath,2535.0,Undetermined,67.7,0.012666666666666666
20,-121.26945855,44.760838893,2021/08/01 01:50:00+00,,,Jefferson,,,67.0,0.002
21,-121.276402994,44.746394448000004,2017/07/03 03:49:00+00,,,Jefferson,,,69.3,0.0003333333333333333
22,-122.78801423899999,44.206105375,2015/07/24 22:40:00+00,,,Lane,,,67.4,0.008333333333333333
23,-121.264458549,44.7602833380001,2021/07/05 04:34:00+00,,,Jefferson,,,71.7,0.0036666666666666666
24,-123.19101426700001,44.030305325,2014/11/11 18:32:00+00,,,Lane,,,43.6,0.33
25,-122.55001439700001,45.2000054590001,2020/09/07 18:59:59+00,,,Clackamas,2584.0,Unknown,61.9,0.10533333333333332
26,-121.544184143,44.7222255300001,2018/08/29 20:52:59+00,,,Jefferson,,,66.8,0.003
27,-123.69391407799999,42.552135186,2017/06/29 22:06:59+00,42.57227,-123.7456,Josephine,0.1,Human,61.2,0.03966666666666666
28,-123.35334729,42.1391718610001,2022/06/11 23:18:00+00,,,Josephine,,,59.7,0.08600000000000001
29,-121.41301399700001,44.0694055000001,2015/05/24 18:49:00+00,,,Deschutes,,,49.5,0.07666666666666666
30,-117.47451360299999,45.5243159890001,2018/07/10 21:53:05+00,45.52416,-117.5129,Wallowa,0.1,Human,66.0,0.002
31,-122.539413919,42.6335452980001,2017/09/07 20:52:59+00,42.63354,-122.5394,Jackson,0.1,Natural,62.1,0.03333333333333333
32,-123.47601405299999,42.592805209000105,2015/06/19 04:02:00+00,,,Josephine,,,67.3,0.015666666666666666
33,-123.13362537299999,44.053616443000095,2016/08/13 21:01:00+00,,,Lane,,,66.5,0.0013333333333333333
34,-121.266958545,44.76028334000011,2022/07/05 04:15:59+00,,,Jefferson,,,70.4,0.007333333333333333
